Series_reference,Period,Data_value,Suppressed,STATUS,UNITS
BDCQ.SEA1AA,2011.06,80078,,F,Number
BDCQ.SEA1AA,2011.09,78324,,F,Number
BDCQ.SEA1AA,2011.12,85850,,F,Number
BDCQ.SEA1AA,2012.03,90743,,F,Number
BDCQ.SEA1AA,2012.06,81780,,F,Number
BDCQ.SEA1AA,2012.09,79261,,F,Number
BDCQ.SEA1AA,2012.12,87793,,F,Number
BDCQ.SEA1AA,2013.03,91571,,F,Number
BDCQ.SEA1AA,2013.06,81687,,F,Number
BDCQ.SEA1AA,2013.09,81471,,F,Number
BDCQ.SEA1AA,2013.12,93950,,F,Number
BDCQ.SEA1AA,2014.03,97208,,F,Number
BDCQ.SEA1AA,2014.06,85879,,F,Number
BDCQ.SEA1AA,2014.09,84447,,F,Number
BDCQ.SEA1AA,2014.12,95075,,F,Number
BDCQ.SEA1AA,2015.03,98202,,F,Number
BDCQ.SEA1AA,2015.06,87987,,F,Number
BDCQ.SEA1AA,2015.09,84529,,F,Number
BDCQ.SEA1AA,2015.12,96848,,F,Number
BDCQ.SEA1AA,2016.03,99291,,F,Number
BDCQ.SEA1AA,2016.06,88716,,F,Number
BDCQ.SEA1AA,2016.09,85933,,F,Number
BDCQ.SEA1AA,2016.12,96540,,F,Number
BDCQ.SEA1AA,2017.03,98994,,F,Number
BDCQ.SEA1AA,2017.06,90510,,F,Number
BDCQ.SEA1AA,2017.09,87089,,F,Number
BDCQ.SEA1AA,2017.12,98933,,F,Number
BDCQ.SEA1AA,2018.03,101168,,F,Number
BDCQ.SEA1AA,2018.06,90766,,F,Number
BDCQ.SEA1AA,2018.09,86929,,F,Number
BDCQ.SEA1AA,2018.12,100290,,F,Number
BDCQ.SEA1AA,2019.03,102031,,F,Number
BDCQ.SEA1AA,2019.06,90836,,F,Number
BDCQ.SEA1AA,2019.09,88032,,F,Number
BDCQ.SEA1AA,2019.12,100531,,F,Number
BDCQ.SEA1AA,2020.03,100947,,F,Number
BDCQ.SEA1AA,2020.06,93239,,F,Number
BDCQ.SEA1AA,2020.09,93706,,R,Number
BDCQ.SEA1AA,2020.12,103593,,R,Number
BDCQ.SEA1AA,2021.03,102002,,R,Number
BDCQ.SEA1AA,2021.06,93431,,R,Number
BDCQ.SEA1AA,2021.09,92353,,R,Number
BDCQ.SEA1AA,2021.12,102896,,R,Number
BDCQ.SEA1AA,2022.03,101092,,R,Number
BDCQ.SEA1AA,2022.06,94757,,R,Number
BDCQ.SEA1AA,2022.09,91674,,R,Number
BDCQ.SEA1AA,2022.12,99680,,R,Number
BDCQ.SEA1AA,2023.03,98706,,F,Number
BDCQ.SEA1AA,2023.06,92576,,F,Number
BDCQ.SEA1AA,2023.09,90647,,F,Number
BDCQ.SEA1AA,2023.12,100561,,F,Number
BDCQ.SEA1AS,2011.06,83851,,R,Number
BDCQ.SEA1AS,2011.09,84142,,R,Number
BDCQ.SEA1AS,2011.12,82663,,R,Number
BDCQ.SEA1AS,2012.03,84321,,R,Number
BDCQ.SEA1AS,2012.06,85700,,R,Number
BDCQ.SEA1AS,2012.09,85208,,R,Number
BDCQ.SEA1AS,2012.12,84420,,R,Number
BDCQ.SEA1AS,2013.03,85085,,R,Number
BDCQ.SEA1AS,2013.06,85658,,R,Number
BDCQ.SEA1AS,2013.09,87742,,R,Number
BDCQ.SEA1AS,2013.12,90098,,R,Number
BDCQ.SEA1AS,2014.03,90413,,R,Number
BDCQ.SEA1AS,2014.06,90030,,R,Number
BDCQ.SEA1AS,2014.09,91075,,R,Number
BDCQ.SEA1AS,2014.12,91007,,R,Number
BDCQ.SEA1AS,2015.03,91515,,R,Number
BDCQ.SEA1AS,2015.06,92019,,R,Number
BDCQ.SEA1AS,2015.09,91354,,R,Number
BDCQ.SEA1AS,2015.12,92546,,R,Number
BDCQ.SEA1AS,2016.03,92749,,R,Number
BDCQ.SEA1AS,2016.06,92577,,R,Number
BDCQ.SEA1AS,2016.09,92917,,R,Number
BDCQ.SEA1AS,2016.12,92189,,R,Number
BDCQ.SEA1AS,2017.03,92659,,R,Number
BDCQ.SEA1AS,2017.06,94322,,R,Number
BDCQ.SEA1AS,2017.09,94193,,R,Number
BDCQ.SEA1AS,2017.12,94258,,R,Number
BDCQ.SEA1AS,2018.03,94949,,R,Number
BDCQ.SEA1AS,2018.06,94742,,R,Number
BDCQ.SEA1AS,2018.09,93680,,R,Number
BDCQ.SEA1AS,2018.12,95349,,R,Number
BDCQ.SEA1AS,2019.03,96218,,R,Number
BDCQ.SEA1AS,2019.06,94960,,R,Number
BDCQ.SEA1AS,2019.09,94301,,R,Number
BDCQ.SEA1AS,2019.12,95421,,R,Number
BDCQ.SEA1AS,2020.03,95882,,R,Number
BDCQ.SEA1AS,2020.06,97444,,R,Number
BDCQ.SEA1AS,2020.09,99590,,R,Number
BDCQ.SEA1AS,2020.12,98454,,R,Number
BDCQ.SEA1AS,2021.03,97564,,R,Number
BDCQ.SEA1AS,2021.06,97301,,R,Number
BDCQ.SEA1AS,2021.09,97672,,R,Number
BDCQ.SEA1AS,2021.12,97973,,R,Number
BDCQ.SEA1AS,2022.03,97223,,R,Number
BDCQ.SEA1AS,2022.06,98218,,R,Number
BDCQ.SEA1AS,2022.09,96741,,R,Number
BDCQ.SEA1AS,2022.12,95119,,R,Number
BDCQ.SEA1AS,2023.03,95161,,R,Number
